transfer,queries,loss,substitute_accuracy,victim_accuracy,fidelity
cifar10,5000,soft,0.5891,0.9433,0.5986
cifar10,10000,soft,0.6254,0.9433,0.6315
cifar10,20000,soft,0.7688,0.9433,0.7781
cifar10,50000,soft,0.8662,0.9433,0.8744
cifar10,5000,hard,0.5877,0.9433,0.5938
cifar10,10000,hard,0.6649,0.9433,0.6753
cifar10,20000,hard,0.8076,0.9433,0.8179
cifar10,50000,hard,0.8631,0.9433,0.8688
cifar100,5000,soft,0.2032,0.9433,0.2013
cifar100,10000,soft,0.3036,0.9433,0.3037
cifar100,20000,soft,0.4818,0.9433,0.4879
cifar100,50000,soft,0.7429,0.9433,0.7565
cifar100,5000,hard,0.2449,0.9433,0.2434
cifar100,10000,hard,0.283,0.9433,0.2831
cifar100,20000,hard,0.5135,0.9433,0.5223
cifar100,50000,hard,0.6772,0.9433,0.691
